# Vantis Steering Systems — timesheet export
# period: 2026 Q1   exported: 2026-04-05
# charge code format changed in 2022 and again in 2024. Older rows keep the old format.
# an empty 'approved' column means the line was never signed off, not that it was rejected.
week_ending,employee,charge_code,hours,activity,approved
2026-01-01,"Haas, Nils",VST-1037,34.0,hardware,Y
2026-01-08,M. Lindqvist,VST-1037,16.0,hardware,Y
2026-01-15,R. Dietrich,VST-1037,27.0,hardware,Y
2026-01-22,"Beker, Sena",VST-1037,11.0,hardware,Y
2026-01-01,A. Kovac,VST-1037,14.0,hardware,Y
2026-02-08,R. Dietrich,VST-1037,38.0,hardware,Y
2026-02-15,S. Beker,VST-1037,36.0,hardware,Y
2026-02-22,"Beker, Sena",VST-1037,40.0,hardware,
2026-02-01,I. Arnaud,VST-1037,13.0,hardware,Y
2026-03-08,S. Beker,VST-1037,22.0,hardware,Y
2026-03-15,"Arnaud, Ines",VST-1037,21.0,hardware,Y
2026-03-22,J. Moreau,VST-1037,33.0,hardware,Y
2026-03-01,S. Beker,VST-1037,176.7,hardware,Y
2026-01-01,"Ferreira, Diogo",VST-1037,28.0,validation,Y
2026-01-08,M. Lindqvist,VST-1037,30.0,validation,Y
2026-01-15,S. Beker,VST-1037,39.0,validation,Y
2026-01-22,"Renaud, Luc",VST-1037,17.0,validation,Y
2026-01-01,"Dietrich, Rea",VST-1037,46.6,validation,Y
2026-01-01,"Arnaud, Ines",VST-1037,39.0,systems,Y
2026-01-08,J. Moreau,VST-1037,40.0,systems,Y
2026-01-15,"Ferreira, Diogo",VST-1037,17.3,systems,Y
2026-01-01,"Strand, Petra",VST-1037,38.0,pm,Y
2026-01-08,N. Haas,VST-1037,26.3,pm,Y
2026-01-01,"Renaud, Luc",VST-1045,10.0,software,Y
2026-01-08,S. Beker,VST-1045,14.0,software,Y
2026-01-15,"Renaud, Luc",VST-1045,26.0,software,Y
2026-01-22,P. Strand,VST-1045,31.0,software,Y
2026-01-01,"Strand, Petra",VST-1045,36.0,software,Y
2026-02-08,T. Sala,VST-1045,12.0,software,Y
2026-02-15,I. Arnaud,VST-1045,26.0,software,Y
2026-02-22,D. Ferreira,VST-1045,24.0,software,Y
2026-02-01,R. Dietrich,VST-1045,16.0,software,Y
2026-03-08,"Beker, Sena",VST-1045,22.0,software,Y
2026-03-15,R. Dietrich,VST-1045,6.0,software,Y
2026-03-22,P. Strand,VST-1045,38.0,software,Y
2026-03-01,"Ferreira, Diogo",VST-1045,268.6,software,Y
2026-01-01,"Sala, Tomas",VST-1045,9.0,systems,Y
2026-01-08,"Moreau, Julien",VST-1045,6.0,systems,Y
2026-01-15,"Kovac, Ana",VST-1045,24.0,systems,Y
2026-01-22,"Renaud, Luc",VST-1045,37.0,systems,Y
2026-01-01,J. Moreau,VST-1045,10.0,systems,Y
2026-02-08,L. Renaud,VST-1045,40.0,systems,
2026-02-15,J. Moreau,VST-1045,85.9,systems,Y
2026-01-01,"Sala, Tomas",VST-1045,29.0,validation,Y
2026-01-08,J. Moreau,VST-1045,7.0,validation,Y
2026-01-15,"Dietrich, Rea",VST-1045,17.0,validation,Y
2026-01-22,E. Palmer,VST-1045,21.0,validation,Y
2026-01-01,J. Moreau,VST-1045,37.0,validation,Y
2026-02-08,"Arnaud, Ines",VST-1045,11.0,validation,Y
2026-02-15,S. Beker,VST-1045,89.9,validation,
2026-01-01,"Lindqvist, Maja",VST-1045,7.0,pm,Y
2026-01-08,L. Renaud,VST-1045,10.0,pm,Y
2026-01-15,M. Lindqvist,VST-1045,25.0,pm,Y
2026-01-22,P. Strand,VST-1045,63.9,pm,Y
2026-01-01,I. Arnaud,VST-1064,18.0,software,Y
2026-01-08,P. Strand,VST-1064,37.0,software,Y
2026-01-15,"Sala, Tomas",VST-1064,23.0,software,Y
2026-01-22,J. Moreau,VST-1064,23.0,software,Y
2026-01-01,"Arnaud, Ines",VST-1064,8.0,software,Y
2026-02-08,"Ferreira, Diogo",VST-1064,35.0,software,Y
2026-02-15,"Renaud, Luc",VST-1064,10.0,software,Y
2026-02-22,"Dietrich, Rea",VST-1064,22.0,software,Y
2026-02-01,"Beker, Sena",VST-1064,5.0,software,Y
2026-03-08,N. Haas,VST-1064,13.0,software,Y
2026-03-15,"Lindqvist, Maja",VST-1064,15.0,software,Y
2026-03-22,S. Beker,VST-1064,16.0,software,Y
2026-03-01,"Haas, Nils",VST-1064,484.6,software,Y
2026-01-01,T. Sala,VST-1064,32.0,validation,Y
2026-01-08,"Haas, Nils",VST-1064,24.0,validation,Y
2026-01-15,M. Lindqvist,VST-1064,21.0,validation,Y
2026-01-22,"Beker, Sena",VST-1064,28.0,validation,Y
2026-01-01,"Ferreira, Diogo",VST-1064,21.0,validation,Y
2026-02-08,D. Ferreira,VST-1064,9.0,validation,Y
2026-02-15,E. Palmer,VST-1064,8.0,validation,Y
2026-02-22,"Sala, Tomas",VST-1064,115.0,validation,Y
2026-01-01,"Arnaud, Ines",VST-1064,35.0,systems,
2026-01-08,"Strand, Petra",VST-1064,33.0,systems,Y
2026-01-15,A. Kovac,VST-1064,40.0,systems,Y
2026-01-22,R. Dietrich,VST-1064,7.0,systems,Y
2026-01-01,S. Beker,VST-1064,11.0,systems,Y
2026-02-08,M. Lindqvist,VST-1064,67.5,systems,Y
2026-01-01,A. Kovac,VST-1064,9.0,pm,Y
2026-01-08,J. Moreau,VST-1064,35.0,pm,Y
2026-01-15,"Moreau, Julien",VST-1064,23.0,pm,Y
2026-01-22,"Strand, Petra",VST-1064,62.1,pm,Y
2026-01-01,J. Moreau,VST-1067,35.0,software,Y
2026-01-08,E. Palmer,VST-1067,17.0,software,Y
2026-01-15,"Strand, Petra",VST-1067,19.0,software,Y
2026-01-22,T. Sala,VST-1067,15.0,software,Y
2026-01-01,"Haas, Nils",VST-1067,34.0,software,Y
2026-02-08,S. Beker,VST-1067,5.0,software,Y
2026-02-15,M. Lindqvist,VST-1067,31.0,software,Y
2026-02-22,"Arnaud, Ines",VST-1067,24.0,software,Y
2026-02-01,J. Moreau,VST-1067,7.0,software,Y
2026-03-08,M. Lindqvist,VST-1067,24.0,software,
2026-03-15,A. Kovac,VST-1067,36.0,software,Y
2026-03-22,D. Ferreira,VST-1067,19.0,software,Y
2026-03-01,S. Beker,VST-1067,2262.8,software,Y
2026-01-01,"Beker, Sena",VST-1067,40.0,systems,Y
2026-01-08,R. Dietrich,VST-1067,30.0,systems,Y
2026-01-15,R. Dietrich,VST-1067,13.0,systems,Y
2026-01-22,J. Moreau,VST-1067,39.0,systems,Y
2026-01-01,"Kovac, Ana",VST-1067,5.0,systems,Y
2026-02-08,"Strand, Petra",VST-1067,17.0,systems,Y
2026-02-15,I. Arnaud,VST-1067,18.0,systems,Y
2026-02-22,"Ferreira, Diogo",VST-1067,22.0,systems,Y
2026-02-01,"Arnaud, Ines",VST-1067,12.0,systems,Y
