# Vantis Steering Systems — timesheet export
# period: 2022 Q3   exported: 2022-10-05
# charge code format changed in 2022 and again in 2024. Older rows keep the old format.
# an empty 'approved' column means the line was never signed off, not that it was rejected.
week_ending,employee,charge_code,hours,activity,approved
2022-07-01,"Palmer, Ewan",VST1030,25.0,software,Y
2022-07-08,"Beker, Sena",VST1030,34.0,software,Y
2022-07-15,"Renaud, Luc",VST1030,35.0,software,Y
2022-07-22,"Moreau, Julien",VST1030,40.0,software,Y
2022-07-01,A. Kovac,VST1030,17.0,software,Y
2022-08-08,"Lindqvist, Maja",VST1030,30.0,software,Y
2022-08-15,P. Strand,VST1030,15.0,software,Y
2022-08-22,R. Dietrich,VST1030,17.0,software,
2022-08-01,"Arnaud, Ines",VST1030,17.0,software,Y
2022-09-08,"Haas, Nils",VST1030,14.0,software,Y
2022-09-15,E. Palmer,VST1030,19.0,software,Y
2022-09-22,S. Beker,VST1030,15.0,software,Y
2022-09-01,P. Strand,VST1030,2231.9,software,Y
2022-07-01,S. Beker,VST1030,32.0,systems,Y
2022-07-08,T. Sala,VST1030,40.0,systems,Y
2022-07-15,P. Strand,VST1030,28.0,systems,Y
2022-07-22,D. Ferreira,VST1030,37.0,systems,Y
2022-07-01,I. Arnaud,VST1030,40.0,systems,Y
2022-08-08,R. Dietrich,VST1030,6.0,systems,Y
2022-08-15,I. Arnaud,VST1030,21.0,systems,Y
2022-08-22,A. Kovac,VST1030,32.0,systems,Y
2022-08-01,"Beker, Sena",VST1030,33.0,systems,
2022-09-08,"Haas, Nils",VST1030,29.0,systems,Y
2022-09-15,P. Strand,VST1030,18.0,systems,Y
2022-09-22,"Strand, Petra",VST1030,15.0,systems,Y
2022-09-01,N. Haas,VST1030,673.0,systems,Y
2022-07-01,S. Beker,VST1030,22.0,validation,Y
2022-07-08,R. Dietrich,VST1030,4.0,validation,Y
2022-07-15,"Ferreira, Diogo",VST1030,5.0,validation,Y
2022-07-22,"Arnaud, Ines",VST1030,22.0,validation,Y
2022-07-01,"Kovac, Ana",VST1030,23.0,validation,Y
2022-08-08,"Palmer, Ewan",VST1030,17.0,validation,Y
2022-08-15,D. Ferreira,VST1030,25.0,validation,Y
2022-08-22,I. Arnaud,VST1030,25.0,validation,Y
2022-08-01,T. Sala,VST1030,39.0,validation,Y
2022-09-08,M. Lindqvist,VST1030,4.0,validation,Y
2022-09-15,N. Haas,VST1030,8.0,validation,Y
2022-09-22,D. Ferreira,VST1030,32.0,validation,Y
2022-09-01,P. Strand,VST1030,778.0,validation,Y
2022-07-01,"Ferreira, Diogo",VST1030,11.0,pm,Y
2022-07-08,"Moreau, Julien",VST1030,14.0,pm,Y
2022-07-15,P. Strand,VST1030,9.0,pm,Y
2022-07-22,"Dietrich, Rea",VST1030,33.0,pm,Y
2022-07-01,P. Strand,VST1030,24.0,pm,Y
2022-08-08,S. Beker,VST1030,4.0,pm,Y
2022-08-15,A. Kovac,VST1030,23.0,pm,Y
2022-08-22,R. Dietrich,VST1030,12.0,pm,Y
2022-08-01,J. Moreau,VST1030,36.0,pm,Y
2022-09-08,"Sala, Tomas",VST1030,6.0,pm,Y
2022-09-15,I. Arnaud,VST1030,21.0,pm,Y
2022-09-22,P. Strand,VST1030,27.0,pm,Y
2022-09-01,L. Renaud,VST1030,281.9,pm,Y
2022-07-01,T. Sala,VST1077,15.0,calibration,Y
2022-07-08,P. Strand,VST1077,11.0,calibration,Y
2022-07-15,P. Strand,VST1077,17.0,calibration,Y
2022-07-22,P. Strand,VST1077,29.0,calibration,Y
2022-07-01,D. Ferreira,VST1077,12.0,calibration,Y
2022-08-08,T. Sala,VST1077,119.2,calibration,Y
2022-07-01,T. Sala,VST1077,20.0,validation,Y
2022-07-08,L. Renaud,VST1077,32.0,validation,Y
2022-07-15,"Lindqvist, Maja",VST1077,32.7,validation,Y
2022-07-01,"Strand, Petra",VST1077,22.0,pm,Y
2022-07-08,"Strand, Petra",VST1077,28.8,pm,Y
2022-07-01,M. Lindqvist,VST1106,9.0,safety,Y
2022-07-08,E. Palmer,VST1106,14.0,safety,
2022-07-15,E. Palmer,VST1106,39.0,safety,Y
2022-07-22,I. Arnaud,VST1106,39.0,safety,Y
2022-07-01,E. Palmer,VST1106,27.0,safety,Y
2022-08-08,D. Ferreira,VST1106,38.0,safety,Y
2022-08-15,M. Lindqvist,VST1106,48.5,safety,Y
2022-07-01,"Renaud, Luc",VST1106,4.0,systems,Y
2022-07-08,A. Kovac,VST1106,57.3,systems,
