# Vantis Steering Systems — timesheet export
# period: 2021 Q2   exported: 2021-07-05
# charge code format changed in 2022 and again in 2024. Older rows keep the old format.
# an empty 'approved' column means the line was never signed off, not that it was rejected.
week_ending,employee,charge_code,hours,activity,approved
2021-04-01,D. Ferreira,1024,23.0,safety,Y
2021-04-08,J. Moreau,1024,25.0,safety,Y
2021-04-15,"Kovac, Ana",1024,27.0,safety,Y
2021-04-22,P. Strand,1024,38.0,safety,Y
2021-04-01,"Ferreira, Diogo",1024,20.0,safety,Y
2021-05-08,S. Beker,1024,18.0,safety,Y
2021-05-15,N. Haas,1024,16.0,safety,Y
2021-05-22,D. Ferreira,1024,17.0,safety,Y
2021-05-01,"Renaud, Luc",1024,110.0,safety,Y
2021-04-01,"Lindqvist, Maja",1024,20.0,systems,Y
2021-04-08,M. Lindqvist,1024,38.0,systems,Y
2021-04-15,"Palmer, Ewan",1024,26.0,systems,Y
2021-04-01,R. Dietrich,1024,16.0,pm,Y
2021-04-08,"Lindqvist, Maja",1024,26.0,pm,Y
2021-04-01,"Palmer, Ewan",1036,31.0,hardware,Y
2021-04-08,M. Lindqvist,1036,13.0,hardware,Y
2021-04-15,T. Sala,1036,22.0,hardware,Y
2021-04-22,A. Kovac,1036,37.0,hardware,Y
2021-04-01,T. Sala,1036,28.0,hardware,Y
2021-05-08,S. Beker,1036,40.0,hardware,Y
2021-05-15,"Ferreira, Diogo",1036,20.0,hardware,Y
2021-05-22,J. Moreau,1036,39.0,hardware,Y
2021-05-01,I. Arnaud,1036,7.0,hardware,Y
2021-06-08,"Strand, Petra",1036,24.0,hardware,Y
2021-06-15,"Beker, Sena",1036,30.0,hardware,Y
2021-06-22,"Dietrich, Rea",1036,15.0,hardware,Y
2021-06-01,N. Haas,1036,1694.4,hardware,Y
2021-04-01,R. Dietrich,1036,6.0,validation,Y
2021-04-08,"Kovac, Ana",1036,40.0,validation,Y
2021-04-15,E. Palmer,1036,37.0,validation,Y
2021-04-22,"Renaud, Luc",1036,29.0,validation,
2021-04-01,A. Kovac,1036,14.0,validation,Y
2021-05-08,A. Kovac,1036,5.0,validation,Y
2021-05-15,I. Arnaud,1036,35.0,validation,Y
2021-05-22,N. Haas,1036,24.0,validation,Y
2021-05-01,E. Palmer,1036,13.0,validation,Y
2021-06-08,E. Palmer,1036,20.0,validation,Y
2021-06-15,"Renaud, Luc",1036,24.0,validation,Y
2021-06-22,J. Moreau,1036,24.0,validation,Y
2021-06-01,E. Palmer,1036,395.8,validation,Y
2021-04-01,L. Renaud,1036,16.0,systems,Y
2021-04-08,"Beker, Sena",1036,26.0,systems,Y
2021-04-15,"Dietrich, Rea",1036,30.0,systems,Y
2021-04-22,N. Haas,1036,28.0,systems,Y
2021-04-01,M. Lindqvist,1036,9.0,systems,Y
2021-05-08,"Dietrich, Rea",1036,27.0,systems,Y
2021-05-15,I. Arnaud,1036,15.0,systems,Y
2021-05-22,"Arnaud, Ines",1036,31.0,systems,Y
2021-05-01,I. Arnaud,1036,21.0,systems,
2021-06-08,S. Beker,1036,37.0,systems,Y
2021-06-15,P. Strand,1036,32.0,systems,Y
2021-06-22,M. Lindqvist,1036,128.1,systems,Y
2021-04-01,T. Sala,1036,7.0,pm,Y
2021-04-08,D. Ferreira,1036,22.0,pm,Y
2021-04-15,A. Kovac,1036,27.0,pm,Y
2021-04-22,"Moreau, Julien",1036,11.0,pm,Y
2021-04-01,R. Dietrich,1036,15.0,pm,Y
2021-05-08,D. Ferreira,1036,5.0,pm,Y
2021-05-15,E. Palmer,1036,17.0,pm,
2021-05-22,D. Ferreira,1036,162.7,pm,Y
2021-04-01,T. Sala,1049,11.0,hardware,Y
2021-04-08,"Lindqvist, Maja",1049,37.0,hardware,Y
2021-04-15,"Lindqvist, Maja",1049,16.0,hardware,Y
2021-04-22,J. Moreau,1049,4.0,hardware,Y
2021-04-01,"Sala, Tomas",1049,27.0,hardware,
2021-05-08,"Strand, Petra",1049,12.0,hardware,Y
2021-05-15,J. Moreau,1049,19.0,hardware,
2021-05-22,"Beker, Sena",1049,24.0,hardware,Y
2021-05-01,I. Arnaud,1049,13.0,hardware,Y
2021-06-08,M. Lindqvist,1049,36.0,hardware,Y
2021-06-15,T. Sala,1049,9.0,hardware,Y
2021-06-22,"Strand, Petra",1049,5.0,hardware,
2021-06-01,"Sala, Tomas",1049,893.8,hardware,Y
2021-04-01,"Strand, Petra",1049,37.0,validation,Y
2021-04-08,R. Dietrich,1049,18.0,validation,Y
2021-04-15,T. Sala,1049,6.0,validation,Y
2021-04-22,M. Lindqvist,1049,13.0,validation,Y
2021-04-01,P. Strand,1049,35.0,validation,Y
2021-05-08,L. Renaud,1049,26.0,validation,Y
2021-05-15,D. Ferreira,1049,32.0,validation,Y
2021-05-22,N. Haas,1049,28.0,validation,Y
2021-05-01,"Ferreira, Diogo",1049,14.0,validation,Y
2021-06-08,"Renaud, Luc",1049,16.0,validation,Y
2021-06-15,R. Dietrich,1049,39.0,validation,Y
2021-06-22,M. Lindqvist,1049,138.5,validation,Y
2021-04-01,D. Ferreira,1049,4.0,systems,
2021-04-08,J. Moreau,1049,12.0,systems,Y
2021-04-15,P. Strand,1049,16.0,systems,Y
2021-04-22,E. Palmer,1049,23.0,systems,Y
2021-04-01,A. Kovac,1049,37.0,systems,Y
2021-05-08,L. Renaud,1049,32.0,systems,
2021-05-15,J. Moreau,1049,25.0,systems,Y
2021-05-22,L. Renaud,1049,11.0,systems,Y
2021-05-01,J. Moreau,1049,141.9,systems,Y
2021-04-01,"Renaud, Luc",1049,17.0,pm,Y
2021-04-08,"Palmer, Ewan",1049,5.0,pm,Y
2021-04-15,"Palmer, Ewan",1049,5.0,pm,Y
2021-04-22,"Sala, Tomas",1049,17.0,pm,Y
2021-04-01,D. Ferreira,1049,26.0,pm,Y
2021-05-08,R. Dietrich,1049,131.2,pm,Y
2021-04-01,M. Lindqvist,1051,38.0,calibration,Y
2021-04-08,E. Palmer,1051,1.2,calibration,Y
