# Vantis Steering Systems — timesheet export
# period: 2024 Q1   exported: 2024-04-05
# charge code format changed in 2022 and again in 2024. Older rows keep the old format.
# an empty 'approved' column means the line was never signed off, not that it was rejected.
week_ending,employee,charge_code,hours,activity,approved
2024-01-01,"Ferreira, Diogo",VST-1003,15.0,hardware,Y
2024-01-08,M. Lindqvist,VST-1003,18.0,hardware,Y
2024-01-15,R. Dietrich,VST-1003,6.0,hardware,Y
2024-01-22,A. Kovac,VST-1003,17.0,hardware,Y
2024-01-01,"Sala, Tomas",VST-1003,22.0,hardware,Y
2024-02-08,T. Sala,VST-1003,39.0,hardware,Y
2024-02-15,"Beker, Sena",VST-1003,14.0,hardware,Y
2024-02-22,I. Arnaud,VST-1003,23.0,hardware,Y
2024-02-01,"Renaud, Luc",VST-1003,26.0,hardware,Y
2024-03-08,"Beker, Sena",VST-1003,12.0,hardware,Y
2024-03-15,"Arnaud, Ines",VST-1003,30.0,hardware,Y
2024-03-22,"Moreau, Julien",VST-1003,15.0,hardware,Y
2024-03-01,"Renaud, Luc",VST-1003,326.6,hardware,Y
2024-01-01,D. Ferreira,VST-1003,6.0,validation,Y
2024-01-08,P. Strand,VST-1003,22.0,validation,
2024-01-15,"Lindqvist, Maja",VST-1003,17.0,validation,Y
2024-01-22,"Haas, Nils",VST-1003,24.0,validation,Y
2024-01-01,R. Dietrich,VST-1003,16.0,validation,
2024-02-08,N. Haas,VST-1003,102.9,validation,Y
2024-01-01,E. Palmer,VST-1003,38.0,systems,Y
2024-01-08,P. Strand,VST-1003,31.0,systems,
2024-01-15,N. Haas,VST-1003,38.0,systems,Y
2024-01-22,D. Ferreira,VST-1003,5.7,systems,Y
2024-01-01,A. Kovac,VST-1003,36.0,pm,Y
2024-01-08,S. Beker,VST-1003,6.0,pm,Y
2024-01-15,R. Dietrich,VST-1003,33.2,pm,Y
2024-01-01,J. Moreau,VST-1013,16.0,software,Y
2024-01-08,E. Palmer,VST-1013,46.7,software,Y
2024-01-01,I. Arnaud,VST-1013,26.0,validation,Y
2024-01-08,P. Strand,VST-1013,36.7,validation,Y
2024-01-01,A. Kovac,VST-1013,31.4,pm,Y
2024-01-01,L. Renaud,VST-1029,32.0,calibration,
2024-01-08,"Beker, Sena",VST-1029,11.5,calibration,Y
2024-01-01,S. Beker,VST-1029,18.1,validation,Y
2024-01-01,"Strand, Petra",VST-1029,10.9,pm,
2024-01-01,N. Haas,VST-1089,18.0,software,Y
2024-01-08,A. Kovac,VST-1089,4.0,software,Y
2024-01-15,"Dietrich, Rea",VST-1089,31.0,software,Y
2024-01-22,L. Renaud,VST-1089,35.0,software,Y
2024-01-01,P. Strand,VST-1089,27.0,software,Y
2024-02-08,A. Kovac,VST-1089,9.0,software,Y
2024-02-15,"Beker, Sena",VST-1089,10.0,software,Y
2024-02-22,"Strand, Petra",VST-1089,9.0,software,Y
2024-02-01,"Strand, Petra",VST-1089,37.0,software,Y
2024-03-08,T. Sala,VST-1089,11.0,software,Y
2024-03-15,S. Beker,VST-1089,40.0,software,Y
2024-03-22,"Ferreira, Diogo",VST-1089,6.0,software,Y
2024-03-01,M. Lindqvist,VST-1089,258.0,software,Y
2024-01-01,M. Lindqvist,VST-1089,8.0,systems,Y
2024-01-08,L. Renaud,VST-1089,7.0,systems,Y
2024-01-15,I. Arnaud,VST-1089,40.0,systems,Y
2024-01-22,"Renaud, Luc",VST-1089,33.0,systems,Y
2024-01-01,I. Arnaud,VST-1089,25.0,systems,Y
2024-02-08,"Renaud, Luc",VST-1089,85.0,systems,Y
2024-01-01,"Lindqvist, Maja",VST-1089,30.0,validation,Y
2024-01-08,N. Haas,VST-1089,16.0,validation,Y
2024-01-15,"Strand, Petra",VST-1089,31.0,validation,Y
2024-01-22,E. Palmer,VST-1089,35.0,validation,Y
2024-01-01,J. Moreau,VST-1089,22.0,validation,Y
2024-02-08,"Palmer, Ewan",VST-1089,64.0,validation,Y
2024-01-01,"Lindqvist, Maja",VST-1089,18.0,pm,Y
2024-01-08,"Ferreira, Diogo",VST-1089,40.0,pm,Y
2024-01-15,"Kovac, Ana",VST-1089,41.0,pm,Y
2024-01-01,A. Kovac,VST-1098,30.0,software,Y
2024-01-08,A. Kovac,VST-1098,18.0,software,
2024-01-15,L. Renaud,VST-1098,32.2,software,Y
2024-01-01,"Strand, Petra",VST-1098,8.0,validation,Y
2024-01-08,"Moreau, Julien",VST-1098,36.0,validation,Y
2024-01-15,"Palmer, Ewan",VST-1098,36.2,validation,Y
2024-01-01,S. Beker,VST-1098,19.0,pm,Y
2024-01-08,L. Renaud,VST-1098,21.1,pm,Y
