# Vantis Steering Systems — timesheet export
# period: 2020 Q2   exported: 2020-07-05
# charge code format changed in 2022 and again in 2024. Older rows keep the old format.
# an empty 'approved' column means the line was never signed off, not that it was rejected.
week_ending,employee,charge_code,hours,activity,approved
2020-04-01,"Haas, Nils",1066,20.0,software,Y
2020-04-08,N. Haas,1066,22.0,software,Y
2020-04-15,E. Palmer,1066,26.0,software,Y
2020-04-22,"Palmer, Ewan",1066,36.0,software,
2020-04-01,"Ferreira, Diogo",1066,47.7,software,Y
2020-04-01,M. Lindqvist,1066,26.0,validation,Y
2020-04-08,R. Dietrich,1066,29.2,validation,Y
2020-04-01,T. Sala,1066,28.0,systems,Y
2020-04-08,"Arnaud, Ines",1066,13.4,systems,
2020-04-01,I. Arnaud,1066,27.5,pm,Y
2020-04-01,A. Kovac,1088,31.0,software,Y
2020-04-08,"Haas, Nils",1088,14.0,software,Y
2020-04-15,"Moreau, Julien",1088,17.0,software,Y
2020-04-22,I. Arnaud,1088,33.0,software,Y
2020-04-01,P. Strand,1088,30.0,software,Y
2020-05-08,J. Moreau,1088,29.0,software,Y
2020-05-15,R. Dietrich,1088,35.0,software,Y
2020-05-22,P. Strand,1088,26.0,software,Y
2020-05-01,T. Sala,1088,27.0,software,Y
2020-06-08,R. Dietrich,1088,6.0,software,Y
2020-06-15,J. Moreau,1088,18.0,software,Y
2020-06-22,"Arnaud, Ines",1088,126.9,software,Y
2020-04-01,M. Lindqvist,1088,40.0,systems,
2020-04-08,T. Sala,1088,32.0,systems,Y
2020-04-15,"Lindqvist, Maja",1088,34.0,systems,Y
2020-04-22,T. Sala,1088,15.0,systems,Y
2020-04-01,R. Dietrich,1088,36.1,systems,Y
2020-04-01,A. Kovac,1088,9.0,validation,Y
2020-04-08,D. Ferreira,1088,25.0,validation,Y
2020-04-15,S. Beker,1088,25.0,validation,
2020-04-22,"Haas, Nils",1088,39.0,validation,Y
2020-04-01,I. Arnaud,1088,59.1,validation,Y
2020-04-01,"Ferreira, Diogo",1088,26.0,pm,
2020-04-08,D. Ferreira,1088,23.0,pm,Y
2020-04-15,L. Renaud,1088,29.6,pm,Y
2020-04-01,R. Dietrich,1096,4.4,systems,Y
2020-04-01,N. Haas,1096,4.4,pm,Y
2020-04-01,M. Lindqvist,1133,37.0,calibration,Y
2020-04-08,L. Renaud,1133,29.0,calibration,Y
2020-04-15,"Strand, Petra",1133,20.0,calibration,Y
2020-04-22,S. Beker,1133,18.0,calibration,Y
2020-04-01,"Arnaud, Ines",1133,36.0,calibration,Y
2020-05-08,"Ferreira, Diogo",1133,41.6,calibration,Y
2020-04-01,P. Strand,1133,6.0,validation,Y
2020-04-08,"Beker, Sena",1133,21.0,validation,Y
2020-04-15,"Moreau, Julien",1133,48.7,validation,Y
2020-04-01,"Sala, Tomas",1133,20.0,pm,Y
2020-04-08,T. Sala,1133,25.4,pm,
2020-04-01,I. Arnaud,1135,29.1,calibration,
2020-04-01,L. Renaud,1135,12.1,validation,Y
2020-04-01,"Palmer, Ewan",1135,7.3,pm,Y
2020-04-01,"Strand, Petra",1143,28.0,calibration,Y
2020-04-08,T. Sala,1143,28.0,calibration,Y
2020-04-15,I. Arnaud,1143,13.0,calibration,Y
2020-04-22,P. Strand,1143,40.0,calibration,Y
2020-04-01,M. Lindqvist,1143,44.8,calibration,Y
2020-04-01,E. Palmer,1143,35.0,validation,Y
2020-04-08,R. Dietrich,1143,29.1,validation,Y
2020-04-01,"Lindqvist, Maja",1143,4.0,pm,Y
2020-04-08,I. Arnaud,1143,34.4,pm,Y
2020-04-01,"Strand, Petra",1166,5.0,hardware,
2020-04-08,"Ferreira, Diogo",1166,24.0,hardware,Y
2020-04-15,J. Moreau,1166,38.0,hardware,Y
2020-04-22,S. Beker,1166,13.0,hardware,Y
2020-04-01,J. Moreau,1166,31.0,hardware,Y
2020-05-08,"Ferreira, Diogo",1166,36.0,hardware,Y
2020-05-15,E. Palmer,1166,6.0,hardware,Y
2020-05-22,"Beker, Sena",1166,37.0,hardware,
2020-05-01,L. Renaud,1166,5.0,hardware,Y
2020-06-08,M. Lindqvist,1166,24.0,hardware,Y
2020-06-15,M. Lindqvist,1166,138.4,hardware,Y
2020-04-01,"Haas, Nils",1166,33.0,validation,Y
2020-04-08,"Arnaud, Ines",1166,10.0,validation,Y
2020-04-15,"Strand, Petra",1166,21.0,validation,Y
2020-04-22,J. Moreau,1166,55.1,validation,Y
2020-04-01,N. Haas,1166,19.0,systems,Y
2020-04-08,"Ferreira, Diogo",1166,28.0,systems,Y
2020-04-15,"Arnaud, Ines",1166,24.5,systems,Y
2020-04-01,R. Dietrich,1166,21.0,pm,Y
2020-04-08,E. Palmer,1166,26.7,pm,Y
2020-04-01,R. Dietrich,1184,13.0,validation,Y
2020-04-08,"Moreau, Julien",1184,36.0,validation,Y
2020-04-15,"Renaud, Luc",1184,28.6,validation,Y
2020-04-01,"Dietrich, Rea",1184,19.4,pm,Y
2020-04-01,"Dietrich, Rea",1195,31.0,software,Y
2020-04-08,A. Kovac,1195,25.0,software,Y
2020-04-15,T. Sala,1195,35.0,software,Y
2020-04-22,D. Ferreira,1195,31.0,software,Y
2020-04-01,D. Ferreira,1195,14.0,software,Y
2020-05-08,T. Sala,1195,30.0,software,Y
2020-05-15,P. Strand,1195,15.0,software,Y
2020-05-22,R. Dietrich,1195,18.0,software,Y
2020-05-01,A. Kovac,1195,34.0,software,Y
2020-06-08,"Palmer, Ewan",1195,13.0,software,Y
2020-06-15,R. Dietrich,1195,19.0,software,Y
2020-06-22,E. Palmer,1195,27.0,software,Y
2020-06-01,N. Haas,1195,584.7,software,Y
2020-04-01,I. Arnaud,1195,17.0,validation,Y
2020-04-08,S. Beker,1195,34.0,validation,Y
2020-04-15,N. Haas,1195,20.0,validation,Y
2020-04-22,E. Palmer,1195,27.0,validation,Y
2020-04-01,J. Moreau,1195,24.0,validation,Y
2020-05-08,M. Lindqvist,1195,36.0,validation,Y
2020-05-15,"Renaud, Luc",1195,23.0,validation,Y
2020-05-22,"Beker, Sena",1195,39.0,validation,Y
2020-05-01,T. Sala,1195,23.0,validation,Y
2020-06-08,A. Kovac,1195,75.8,validation,Y
2020-04-01,R. Dietrich,1195,19.0,systems,Y
2020-04-08,M. Lindqvist,1195,30.0,systems,
2020-04-15,"Sala, Tomas",1195,7.0,systems,Y
2020-04-22,"Renaud, Luc",1195,37.0,systems,Y
2020-04-01,J. Moreau,1195,28.0,systems,Y
2020-05-08,A. Kovac,1195,27.0,systems,Y
2020-05-15,D. Ferreira,1195,28.0,systems,Y
2020-05-22,R. Dietrich,1195,63.1,systems,Y
2020-04-01,E. Palmer,1195,23.0,pm,Y
2020-04-08,T. Sala,1195,13.0,pm,Y
2020-04-15,M. Lindqvist,1195,30.0,pm,Y
2020-04-22,J. Moreau,1195,26.0,pm,Y
2020-04-01,S. Beker,1195,67.4,pm,Y
2020-04-01,"Strand, Petra",1225,31.0,safety,Y
2020-04-08,R. Dietrich,1225,6.0,safety,Y
2020-04-15,E. Palmer,1225,15.0,safety,Y
2020-04-22,"Kovac, Ana",1225,4.0,safety,Y
2020-04-01,A. Kovac,1225,9.0,safety,Y
2020-05-08,A. Kovac,1225,33.0,safety,Y
2020-05-15,E. Palmer,1225,12.0,safety,Y
2020-05-22,R. Dietrich,1225,26.0,safety,Y
2020-05-01,R. Dietrich,1225,26.0,safety,Y
2020-06-08,"Haas, Nils",1225,35.0,safety,Y
2020-06-15,S. Beker,1225,9.0,safety,Y
2020-06-22,"Palmer, Ewan",1225,23.0,safety,Y
2020-06-01,"Haas, Nils",1225,762.3,safety,Y
2020-04-01,"Strand, Petra",1225,36.0,systems,Y
2020-04-08,R. Dietrich,1225,28.0,systems,Y
2020-04-15,P. Strand,1225,4.0,systems,Y
2020-04-22,L. Renaud,1225,39.0,systems,Y
2020-04-01,"Beker, Sena",1225,13.0,systems,Y
2020-05-08,A. Kovac,1225,21.0,systems,Y
2020-05-15,T. Sala,1225,19.0,systems,Y
2020-05-22,L. Renaud,1225,12.0,systems,Y
2020-05-01,E. Palmer,1225,111.2,systems,Y
2020-04-01,"Renaud, Luc",1225,31.0,pm,Y
2020-04-08,E. Palmer,1225,19.0,pm,Y
2020-04-15,P. Strand,1225,38.0,pm,Y
2020-04-22,"Moreau, Julien",1225,29.0,pm,Y
2020-04-01,"Lindqvist, Maja",1225,24.7,pm,Y
2020-04-01,L. Renaud,1253,5.2,systems,Y
2020-04-01,D. Ferreira,1253,5.1,pm,Y
2020-04-01,"Renaud, Luc",1288,16.0,software,Y
2020-04-08,A. Kovac,1288,10.0,software,Y
2020-04-15,N. Haas,1288,23.0,software,Y
2020-04-22,J. Moreau,1288,18.0,software,Y
2020-04-01,L. Renaud,1288,40.0,software,
2020-05-08,"Renaud, Luc",1288,84.0,software,Y
2020-04-01,M. Lindqvist,1288,24.0,validation,Y
2020-04-08,"Ferreira, Diogo",1288,5.0,validation,Y
2020-04-15,R. Dietrich,1288,40.4,validation,Y
2020-04-01,E. Palmer,1288,11.0,systems,Y
2020-04-08,"Arnaud, Ines",1288,41.1,systems,
2020-04-01,"Arnaud, Ines",1288,10.0,pm,Y
2020-04-08,"Moreau, Julien",1288,24.7,pm,Y
2020-04-01,N. Haas,1305,28.0,software,Y
2020-04-08,"Renaud, Luc",1305,36.7,software,Y
2020-04-01,"Dietrich, Rea",1305,14.0,validation,Y
2020-04-08,"Strand, Petra",1305,50.7,validation,Y
2020-04-01,"Ferreira, Diogo",1305,32.4,pm,Y
2020-04-01,"Ferreira, Diogo",1325,21.3,systems,Y
2020-04-01,T. Sala,1325,21.2,pm,Y
2020-04-01,L. Renaud,1332,19.3,systems,Y
2020-04-01,D. Ferreira,1332,19.2,pm,Y
2020-04-01,"Ferreira, Diogo",1336,36.0,hardware,Y
2020-04-08,A. Kovac,1336,22.0,hardware,Y
2020-04-15,"Dietrich, Rea",1336,15.0,hardware,Y
2020-04-22,"Sala, Tomas",1336,18.0,hardware,Y
2020-04-01,J. Moreau,1336,33.0,hardware,Y
2020-05-08,E. Palmer,1336,39.0,hardware,
2020-05-15,J. Moreau,1336,4.0,hardware,Y
2020-05-22,"Moreau, Julien",1336,28.0,hardware,Y
2020-05-01,"Renaud, Luc",1336,24.0,hardware,Y
2020-06-08,N. Haas,1336,30.0,hardware,Y
2020-06-15,L. Renaud,1336,21.0,hardware,Y
2020-06-22,J. Moreau,1336,28.0,hardware,Y
2020-06-01,"Ferreira, Diogo",1336,129.6,hardware,Y
2020-04-01,L. Renaud,1336,25.0,validation,Y
2020-04-08,R. Dietrich,1336,12.0,validation,Y
2020-04-15,M. Lindqvist,1336,25.0,validation,Y
2020-04-22,"Dietrich, Rea",1336,24.0,validation,Y
2020-04-01,M. Lindqvist,1336,56.5,validation,Y
2020-04-01,"Renaud, Luc",1336,30.0,systems,Y
2020-04-08,N. Haas,1336,32.0,systems,Y
2020-04-15,D. Ferreira,1336,23.5,systems,Y
2020-04-01,J. Moreau,1336,23.0,pm,Y
2020-04-08,L. Renaud,1336,34.0,pm,Y
2020-04-01,"Strand, Petra",1340,29.8,calibration,Y
2020-04-01,R. Dietrich,1340,12.4,validation,Y
2020-04-01,J. Moreau,1340,7.5,pm,Y
2020-04-01,"Sala, Tomas",1342,14.0,safety,
